publication_version_id,publication_id,doi,title,abstract,Tags,Authors,,
591,1580,10.4231/R71V5BW8,HPGT: High-precision Gauss-Turan quadrature rules,Matlab routines that calculate high-precision Gauss-Turan quadrature rules,"computer science, gauss-type quadrature rules, hermite weight function, laguerre weight functions, mathematics, matlab, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives",Walter Gautschi,,
593,1582,10.4231/R7959FHP,OPQ: A Matlab suite of programs for generating orthogonal polynomials and related quadrature rules,This is a set of Matlab codes and data files for generating orthogonal polynomials and related quadrature rules.,"computer science, gauss-type quadrature rules, mathematics, matlab, modification algorithms for orthogonal polynomials, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
598,1587,10.4231/R7X34VD9,POEXPINT: Polynomials orthogonal with respect to the exponential integral,Matlab scripts for computing orthogonal polynomials whose weight function involves an exponential integral,"computer science, exponential integrals, gaussian quadrature, logarithmic weight functions, mathematics, matlab, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives",Walter Gautschi,,
610,1598,10.4231/R7CC0XM3,"Biological, chemical and flow characteristics of five river sampling sites in the Wabash River watershed near Lafayette, Indiana – 2009.","Water quality data collected from the Lafayette area watershed in 2009. There are five samples sites located on Little Pine Creek, Elliot Ditch, Little Wea Creek and two sites on the Wabash River.","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed","Sara Peel, Megan Heller Haas, Ronald F. Turco",,
612,1600,10.4231/R7RN35SJ,Maize grain yield record for the WQFS (1995-2012),"The data included here are for the WQFS maize grain yields only; see companion publications for other data including yields of rotation crops, maize stover biomass, nitrate loss in drainage water and other environmental impact data.","agronomy, continuous corn, corn soybean rotation, crop science, grain yield, nitrogen fertilizer, soil science, swine manure, water quality field station","Sylvie M. Brouder, Jeffrey J. Volenec, Ronald F. Turco, Nicole S. De Armond",,
653,1639,10.4231/R7H41PBT,Position of MLL1 morphemes in human genomic DNA,"Supplementary materials for the publication entitled “Discovery of MLL1 binding units, their localization to CpG Islands, and their potential function in mitotic chromatin.” Bina M, Wyss P, et al.  BMC Genomics. 14:927 (2013).","binding sites, bioinformatics, cell division, chemistry, chromatin structure, cis-elements, codes in dna, cpg islands, gene bookmarking, gene regulation, mammalian genomes, mitosis, mll, mll binding sites, mouse genome, regulatory codes, tres, trithorax response elements","Minou Bina, Phillip J. Wyss, Daidong Wang, Noorfatin J. Zulkefl, Elise Novorolsky",,
655,1641,10.4231/R77P8W9J,"Biological, chemical and flow characteristics of five river sampling sites in the Wabash River watershed near Lafayette, Indiana – 2010.","Water quality data collected from the Lafayette area watershed in 2010. There are five samples sites located on Little Pine Creek, Elliot Ditch, Little Wea Creek and two sites on the Wabash River.","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed","Megan Heller Haas, Sara Peel, Ronald F. Turco",,
656,1642,10.4231/R73X84K6,"Biological, chemical and flow characteristics of five river sampling sites in the Wabash River watershed near Lafayette, Indiana – 2011.","Water quality data collected from the Lafayette area watershed in 2011. There are five samples sites located on Little Pine Creek, Elliot Ditch, Little Wea Creek and two sites on the Wabash River.","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed","Megan Heller Haas, Sara Peel, Ronald F. Turco",,
657,1643,10.4231/R7057CVS,Arrival Performance Measures at a Diverging Diamond Interchange,"This video shows several cycles of a diverging diamond interchange at SR-201 / Bangerter in Salt Lake City, Utah on December 18, 2013.","civil engineering, diverging diamond interchange, offset pitcher, performance measures, traffic signal","Alexander M. Hainen, Jamie Mackey, Mark Taylor, Darcy M. Bullock",,
658,1644,10.4231/R7VD6WCH,Sequence and Offset Optimization at a Diamond Interchange,"This video demonstrates the optimized performance at a diamond interchange at I-69 / 96th Street in northeast Indianapolis, IN.","civil engineering, diamond interchange, offset, optimization, sequence, signal","Alexander M. Hainen, Howell Li, Amanda Stevens, Darcy M. Bullock",,
662,1648,10.4231/R7KW5CXF,Localization of MLL1 morphemes in mouse mm9 genomic DNA,"Supplementary materials for the publication entitled “Discovery of MLL1 binding units, their localization to CpG Islands, and their potential function in mitotic chromatin.” Bina M, Wyss P, et al. BMC Genomics. 14:927 (2013)","binding sites, cell division, chemistry, chromatin structure, cis-elements, codes in dna, cpg islands, gene bookmarking, gene regulation, mammalian genomes, mitosis, mll, mll binding sites, mouse genome, regulatory codes, tres, trithorax response elements","Minou Bina, Phillip J. Wyss, Xiaohui C. Song, Daidong Wang",,
664,1650,10.4231/R72Z13FC,Indiana Department of Agriculture Debrief - 2013 Engineering Technology Summit,An interview with Coty Back from the Indiana Department of Agriculture and Future Farmers of America.,"agriculture, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, national science foundation, nsf grant: 105582, technology leadership and innovation, virtual learning community","Chad Laux, Coty Back",,
668,1653,10.4231/R7SB43PZ,INERFC: Evaluation of the Repeated Integrals of the Coerror Function by Half-Range Gauss-Hermite Quadrature,INERFC: Evaluation of the Repeated Integrals of the Coerror Function by Half-Range Gauss-Hermite Quadrature,"coerror function, computer science, mathematics, mathematics education, matlab, quadrature and cubature formulas, walter gautschi archives",Walter Gautschi,,
1199,1653,10.4231/R7RN35T0,INERFC: Evaluation of the Repeated Integrals of the Coerror Function by Half-Range Gauss-Hermite Quadrature,INERFC: Evaluation of the Repeated Integrals of the Coerror Function by Half-Range Gauss-Hermite Quadrature,"coerror function, computer science, mathematics, mathematics education, matlab, quadrature and cubature formulas, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
713,1697,10.4231/R7V40S43,Localization of potential regulatory signals in the human genome,Discovering sequences with potential regulatory characteristics,"bioinformatics, chemistry, codes in human dna, gene regulation, genetic vocabulary, genomics, human genome, regulatory signals, sequence context, transcription factor binding sites","Minou Bina, Phillip J. Wyss, Michael Witt",,
715,1699,10.4231/R7RB72JK,Outflow Boundary Condition and Algorithm for Single-Phase Incompressible Flows,We present an accurate and effective outflow boundary condition and numerical algorithm for achieving stability in the presence of strong vortices or backflows at the outflow boundaries.,"backflow, cfd, incompressible flow, mathematics, open boundary condition, outflow, outflow boundary condition, physics","Suchuan Dong, George Karniadakis",,
717,1701,10.4231/R7MK69TV,Two-Phase Outflows: Boundary Conditions and Algorithm,"We present an effective outflow boundary condition, and an associated numerical algorithm, within the phase field framework for dealing with two-phase outflows or open boundaries.","inflow boundary condition, large density ratio, mathematics, multiphase flow, open boundary condition, outflow boundary condition, phase field method, physics, spectral element method, two-phase flow, two-phase open boundary, two-phase outflow, variable coefficient matrix",Suchuan Dong,,
718,1702,10.4231/R7GT5K3J,"Biological, chemical and flow characteristics of five river sampling sites in the Wabash River watershed near Lafayette, Indiana – 2012.","Water quality data collected from the Lafayette area watershed in 2012. There are three samples sites located on Little Pine Creek, Elliot Ditch, Little Wea Creek and two sites on the Wabash River.","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed","Megan Heller Haas, Sara Peel, Ronald F. Turco",,
719,1703,10.4231/R7ZW1HV3,Painted Rumble Stripes: Alternative to Raised Pavement Markers (RPMs),"This video highlights research completed by the Joint Transportation Research Program led by Darcy Bullock, Lyles School of Civil Engineering, Purdue University, for JTRP Project SPR-3528, &quot;Alternatives to Raised Pavement Markers (RPMs).&quot;","civil engineering, pavement alternatives, rpm, rumble stripes, spr-3528","Darcy M. Bullock, Teresa Morris, Thomas Brennan, Stuart Mitkey, Kelley J Kimm",,
723,1707,10.4231/R7C24TC4,Three-Phase Operations at a Diverging Diamond Interchange Using an Unmanned Aerial Vehicle (UAV) Camera,"This video shows three-phase operations featuring a hold-back phase with data characterizing the southbound internal through movement (OL-C) on May 15, 2014, at the SR-201 / Bangerter DDI in Salt Lake City, Utah.","civil engineering, diverging diamond interchange, drone, operation, signal, traffic, uav, unmanned aerial vehicle","Kelley J Kimm, Alexander M. Hainen, Amanda Stevens, Howell Li, Darcy M. Bullock",,
724,1708,10.4231/R77D2S24,Cirrus SR-20 Traversing Saw Cut and Raised Rumble Strips at 15 Knots,This video documents a field test of a Cirrus SR-20 traversing both a saw cut and a raised rumble strip at the Purdue Airport (LAF).,"airport, cirrus sr-20, civil engineering, rumble strips, runway incursion","Darcy M. Bullock, Sarah M. Hubbard, Colin D. Furr, Brock Gillum, Kelley J Kimm",,
725,1709,10.4231/R73N21BS,Dramatic adaptive response of life history trait to reduced commercial harvest in a freshwater fish,An analysis of maturation schedules of yellow perch in the Laurentian Great Lakes revealed rapid evolution in response to changes in commercial harvest.,"ecology, evolution, fisheries, forestry and natural resources, life history, yellow perch","Tomas Hook, Stephen Chong, Carey Knight, Thomas Lauer, Michael Thomas, Jeffrey Tyson, Zachary S Feiner",,
955,1709,10.4231/R7V69GJV,Rapidly shifting maturation schedules following reducedcommercial harvest in a freshwater ﬁsh,An analysis of maturation schedules of yellow perch in the Laurentian Great Lakes revealed rapid evolution in response to changes in commercial harvest.,"ecology, evolution, fisheries, forestry and natural resources, life history, yellow perch","Zachary S. Feiner, Stephen Chong, Carey Knight, Thomas Lauer, Michael Thomas, Jeffrey Tyson, Tomas O. Hook, Zachary S Feiner",,
728,1711,10.4231/R7QC01DR,Analytical database on noncompact and slender CFT members,This analytical database presents  the results from comprehensive parametric studies (conducted using FEM models) on noncompact and slender CFT members.,"beam-columns, cft, civil engineering, columns, database, design, fem, noncompact and slender, parametric studies",Zhichao Lai,,
729,1712,10.4231/R7KK98PG,A Non-parametric Bayesian Model for Joint Cell Clustering and Cluster Matching: Identification of Anomalous Sample Phenotypes with Random Effects.,The manuscript presents a  non-parametric Bayesian algorithm called ASPIRE (Anomalous Sample Phenotype Identification with Random Effects) able to  identify phenotypic differences across batches of cytometry samples in the presence of random effects,"aml, bayesian, biomedical engineering, bmc bioinformatics, computer science, cytometry, dirichlet process, gaussian mixture model, interdisciplinary research, life sciences, random effects","Murat Dundar, Ferit Akova, Halid Ziya Yerebakan, Bartlomiej P. Rajwa, Bartek Rajwa",,
734,1717,10.4231/R7FT8HZR,"1 Mark (Mahoney, Berea College)","The first narrative from Mark Mahoney of Berea College, collected on Feb. 21, 2014.","education, engineering education, faculty, transcripts",Mel Chua,,
735,1718,10.4231/R7B56GN2,Mimicking the First Turn of an Alpha-Helix with an Unnatural Backbone: Conformation-Specific IR and UV Spectroscopy of Cyclically Constrained Beta/Gamma-Peptides (Dataset),Contained within are the text files for all experimental spectra presented in the paper as well as the Gaussian09 output files for assigned structures.,"chemistry, conformation specific spectroscopy, double resonance spectroscopy, foldamers, peptides, secondary structure","Joseph R. Gord, Patrick S. Walsh, Brian Fisher, Samuel Gellman, Timothy S. Zwier, Joseph R Gord",,
736,1719,10.4231/R7JM27JN,Potential Transcription Factor Binding Sites in the Human Genome (hg19),"Supplementary material for the article entitled “Discovering sequences with potential regulatory characteristics”. Bina M., Wyss P., et al. Genomics 93:314-22 (2009).","binding sites, chemistry, gene regulation, human genome, tfbss, transcription, transcription factor binding sites, transcription factors","Minou Bina, Phillip J. Wyss, Michael Witt",,
737,1720,10.4231/R76D5QXB,2011-2014 Indiana Interstate Congestion Summary,The video corresponds with the delay performance measure in the 2013–2014 Indiana Mobility Report.,"civil engineering, congestion, delay, mobility, performance measures","Stephen Remias, Teresa Morris, Darcy M. Bullock, Kelley J Kimm",,
738,1721,10.4231/R72N506D,January 2014 Winter Storm Time-Lapse on I-69 Near Indianapolis,"A time-lapse summary of a 3-day snow event northeast of Indianapolis, Indiana, from January 2014.","civil engineering, mobility, snow event, trafficwise","Stephen Remias, Edward Cox, Teresa Morris, Darcy M. Bullock, Kelley J Kimm",,
739,1722,10.4231/R7XW4GQQ,South Split Reconstruction Time-Lapse Composite,"This time-lapse video includes highlights of the I-65/I-70 Interstate reconstruction project that took place last September–October, 2013.","bridges, civil engineering, construction engineering and management, indianapolis, indot, interstate 65, interstate 70, purdue university, south split","Teresa Morris, Robert Connor, Kelley J Kimm, Steve Lavrenz, Darcy M. Bullock, Nathan Riggs",,
740,1723,10.4231/R7T43R0Q,Virginia Avenue Beam Replacement Time-Lapse,This time-lapse video depicts the replacement of the Virginia Avenue beams as part of the South Split reconstruction.,"bridges, civil engineering, construction engineering and management, indianapolis, indot, interstate 65, interstate 70, purdue university, south split","Teresa Morris, Robert Connor, Steve Lavrenz, Darcy M. Bullock, Nathan Riggs, Kelley J Kimm",,
741,1724,10.4231/R7PC308C,Virginia Avenue Bridge Hits,"The Virginia Avenue Bridge over I-65/I-70 in Indianapolis had been struck by many oversize trucks. In fall 2012, INDOT and Purdue University installed a camera to monitor the strikes.","bridges, civil engineering, indianapolis, indot, interstate 65, interstate 70, purdue university, south split","Teresa Morris, Robert J. Connor, Jason Lloyd, Nathan Riggs, Kelley J Kimm, Teresa Washeleski",,
742,1725,10.4231/R7VX0DFH,"Purdue University Buildings Demolition, Construction Images, August 2014, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Deborah Horton, Teresa Morris, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt",,
743,1726,10.4231/R7DZ067N,Fire Behavior of Bearing Bolted Connections,"These documents present test data and photographs from seven single-bolted lap joint tests conducted at ambient temperature, 400 deg C and 600 deg C, and comparisons of test results with results from benchmarked finite element analysis.","bolted connections, civil engineering, finite element analysis, fire, high temperature tests, plate bearing","Qiaqia Zhu, Erica C. Fischer, Amit H. Varma",,
745,1728,10.4231/R75D8PSZ,Striping Truck Utilization,This video abstract summarizes the Joint Transportation Research Program (JTRP) project “Striping Truck Utilization at Crawfordsville and Greenfield.”,"civil engineering, crawfordsville, greenfield, indot, paint truck, tap, utilization","Jon Padfield, James Handy, Teresa Morris, Kelley J Kimm",,
746,1729,10.4231/R74F1NN4,RP1D (Clustering Method Using 1D Random Projections),The source code of RP1D (Clustering Method Using 1D Random Projections).,"clustering, computer science, electrical and computer engineering, random projection, source code","Sangchun Han, Mireille Boutin",,
747,1730,10.4231/R7HQ3WT6,"Grade 2 Student Knowledge Test (Solids and Liquids, Chemical Engineering)","Multiple-choice, grade 2 appropriate assessment of science and engineering content knowledge associated with the Engineering is Elementary unit,  A Work in Process: Improving a Play Dough Process.","education, elementary student assessment, engineering education","Heidi A. Diefes-Dux, Heidi Diefes-Dux",,
750,1732,10.4231/R7S46PVX,Grade 2-4 Student Interview Protocols (NSF DRK-12 DRL 0822261),Grade 2 to 4 student interview protocols used prior to and after engineering lessons.,"education, elementary student assessment, engineering education, interview protocol","Heidi A. Diefes-Dux, Brenda Capobianco, Heidi Diefes-Dux",,
751,1733,10.4231/R7WW7FKB,Elementary Students' Design Process Knowledge Task Interview Protocol,Interview protocol designed for elementary students and focuses on engineering design process knowledge.,"education, elementary student assessment, engineering education, interview protocol","Monica E. Cardella, Heidi A Diefes-Dux",,
752,1734,10.4231/R7NC5Z4M,Grade 2-4 Teacher Interview Protocols (NSF DRK-12 DRL 0822261),Grade 2 to 4 teacher interview protocols used after engineering lessons.,"education, elementary teacher assessment, engineering education","Heidi A. Diefes-Dux, Heidi A Diefes-Dux",,
753,1735,10.4231/R7RR1W6W,"Grade 4 Student Knowledge Test (Landforms, Geotechnical Engineering)","Multiple-choice, grade 4 appropriate assessment of science and engineering content knowledge associated with the Engineering is Elementary unit, A Stick in the Mud: Evaluating a Landscape.","education, elementary student assessment, engineering education","Heidi A. Diefes-Dux, Heidi A Diefes-Dux",,
754,1736,10.4231/R7R49NQJ,"Purdue University Buildings Demolition, Construction Images, August 2014, MATH Building Camera","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt",,
755,1737,10.4231/R7MG7MDJ,"Purdue University Buildings Demolition, Construction Images, August 2014, POTR Building Camera 2","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt",,
756,1738,10.4231/R7CZ3538,Task analysis cases and results for Ex Libris Primo at Purdue University Libraries,"These figures represent the task analysis results of different use cases of Ex Libris Primo implemented at Purdue University Libraries, depending on the availability and format of the resource being searched by the user.","computer science, library science, library website, primo, task analysis","Marlen Promann, Tao Zhang, Joseph P Mulligan",,
759,1741,10.4231/R7862DCV,Equation coefficients used for semi-analytical analysis of laterally loaded piles,Equation coefficients used for semi-analytical analysis at Purdue,"civil engineering, mathematics, semi-analytical","Fei Han, Rodrigo Salgado, Monica Prezzi",,
762,1744,10.4231/R7BZ63ZG,RDF mappings between SWEET and ENVO ontologies,"RDF mappings between the ENVO ontology and the SWEET2.3 ontologies created by Agreement Maker Light for the ESIP TestBed project, Evaluating the ESIP Ontologies for Ontology Matching, Summer 2014","library science, ontology coverage","Line C. Pouchard, Michael Huhns, Line C Pouchard",,
763,1745,10.4231/R7GQ6VPT,Link Pivot Algorithm for Offset Optimization,This animation illustrates the use of the Link Pivot algorithm for optimizing offsets on a signalized arterial.,"civil engineering, computer science, optimization, traffic engineering, traffic signals, traffic signal timing","Darcy M. Bullock, Christopher Day, Kelley J Kimm",,
765,1746,10.4231/R7FQ9TJF,Engineering Administration Building Demolition (composite),This time-lapse video is a composite dataset that document the demolition of the ENAD building on Purdue University's West Lafayette campus.,"active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Deborah Horton, Teresa Morris, Kelley J Kimm",,
769,1750,10.4231/R7765C7G,NSF SW Project Empirical Data,"Time series discharge (&quot;_datum&quot;), precipitation (&quot;_Prec&quot;) and water quality (&quot;_XXX&quot;) data for four sites.  Each site/parameter is in its own .csv file.","forestry and natural resources, mitigation factor, stormwater control measures, urban hydrology","Colin D. Bell, Colin D Bell",,
770,1751,10.4231/R73F4MHR,"Mixed 14/16 Helices in the Gas Phase: Conformation-Specific Spectroscopy of Z?(Gly)n, n = 1, 3, 5 (Dataset)","Mixed 14/16 Helices in the Gas Phase: Conformation-Specific Spectroscopy of Z?(Gly)n, n = 1, 3, 5 (Dataset)","chemistry, conformation specific spectroscopy, double resonance spectroscopy, peptides, secondary structure","Jacob Dean, Evan Buchanan, Timothy S. Zwier, Joseph R Gord",,
771,1752,10.4231/R7ZP441V,Efficient Algorithm for Incompressible N-Phase Flows,Efficient Algorithm for Incompressible N-Phase Flows,"mathematics, multiphase flows, n-phase flow, phase field, physics, spectral element, surface tension",Suchuan Dong,,
775,1756,10.4231/R7TX3C94,Cyclic Constraints on Conformational Flexibility in γ-Peptides: Conformation Specific IR and UV Spectroscopy - Data Set,"Contained within are .txt files for all experimentally recorded spectra, and the output files for the assigned structures.","chemistry, conformation-specific, foldamers, gas-phase, infrared, mass resolved, resonant ion-dip infrared spectroscopy, resonant two-photon ionization, spectroscopy, structure determination, ultraviolet","Patrick S. Walsh, Ryoji Kusaka, Evan Buchanan, William H James III, Brian Fisher, Samuel Gellman, Timothy S. Zwier, Patrick S Walsh",,
776,1757,10.4231/R7Q81B0F,Role of Ring-Constrained Gamma-Amino Acid Residues in Alpha/Gamma-Peptide Folding: Single-Conformation UV and IR Spectroscopy (Dataset),Contained within are the text files for all experimental spectra presented in the paper as well as the Gaussian09 output files for assigned structures.,"chemistry, conformation specific spectroscopy, double resonance spectroscopy, foldamers, peptides, secondary structure","Ryoji Kusaka, Di Zhang, Patrick S. Walsh, Joseph R. Gord, Brian Fisher, Samuel Gellman, Timothy S. Zwier, Joseph R Gord",,
778,1759,10.4231/R7KH0K8Q,Benchmark circuits for clock scheduling and synthesis,This repository contains experimental data related to our ASP-DAC 2015 and ISPD 2015 publications.,"benchmark testing, clocks, clock synthesis, clock trees, complexity theory, design aids, dynamic scheduling, electrical and computer engineering, fast clock skew scheduling, integrated circuits, multi-corner multi-mode, optimization, skew, time measurement, timing, vlsi","Cheng-Kok Koh, Rickard F Ewetz",,
828,1759,10.4231/R7Q23X5D,Benchmark circuits for clock scheduling and synthesis,"This repository contains experimental data related to our ASP-DAC 2015, ISPD 2015, and DAC2015 publications.","benchmark testing, clocks, clock synthesis, clock trees, complexity theory, design aids, dynamic scheduling, electrical and computer engineering, fast clock skew scheduling, integrated circuits, multi-corner multi-mode, optimization, skew, time measurement, timing, vlsi","Rickard F. Ewetz, Cheng-Kok Koh, Shankarshana Janarthanan, Rickard F Ewetz",,
781,1762,10.4231/R7P848VN,"Purdue University Buildings Demolition, Construction Images, September 2014, MATH Building Camera","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
782,1763,10.4231/R7JH3J4B,"Purdue University Buildings Demolition, Construction Images, October 2014, MATH Building Camera","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
783,1764,10.4231/R72F7KCC,Purdue University Old Power Plant Building Demolition (composite),This time-lapse video is a composite dataset that documents the demolition of the old power plant building on Purdue University's West Lafayette campus.,"building construction management, civil engineering, construction engineering and management, demolition, enadalc, power plant, purdue university","Darcy M. Bullock, Deborah Horton, Teresa Morris, Howell Li, Michael Witt",,
784,1765,10.4231/R7T151KC,"Purdue University Buildings Demolition, Construction Images, September 2014, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
785,1766,10.4231/R7DR2SDM,"Purdue University Buildings Demolition, Construction Images, October 2014, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Stanislav Pejša, Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt",,
787,1768,10.4231/R7XS5S9D,"Purdue University Buildings Demolition, Construction Images, September 2014, POTR Building Camera 2","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue college of technology","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
789,1770,10.4231/R75718ZV,"Purdue University Buildings Demolition, Construction Images, November 2014, MATH Building Camera","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
790,1771,10.4231/R7N877Q8,"Purdue University Buildings Demolition, Construction Images, January 2015, MATH Building Camera","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Stanislav Pejša, Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt",,
792,1773,10.4231/R7S180F0,"Purdue University Buildings Demolition, Construction Images, November 2014, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
793,1774,10.4231/R71J97N9,"Purdue University Buildings Demolition, Construction Images, December 2014, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
794,1775,10.4231/R7CR5R87,"Purdue University Buildings Demolition, Construction Images, January 2015, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
795,1776,10.4231/R79021PK,"Purdue University Buildings Demolition, Construction Images, October 2014, POTR Building Camera 2","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša",,
